,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
0,738,Bob,Thornton,Bob Thornton,"Thornton, Bob",B. Thornton,bob-thornton,1962-07-10T00:00:00,California-Irvine,USA,California-Irvine/USA,6-10,225,8,34,Forward,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,bob_thornton,1985,1995,N,Y,Y,1984,4,87,N
0,78320,Jim,Thomas,Jim Thomas,"Thomas, Jim",J. Thomas,jim-thomas,1960-10-19T00:00:00,Indiana,USA,Indiana/USA,6-3,190,4,20,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_jim_thomas,1983,1990,N,Y,Y,1983,2,40,N
0,280,Felton,Spencer,Felton Spencer,"Spencer, Felton",F. Spencer,felton-spencer,1968-01-05T00:00:00,Louisville,USA,Louisville/USA,7-0,290,12,50,Center,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,felton_spencer,1990,2001,N,Y,Y,1990,1,6,N
0,76827,Dan,Godfread,Dan Godfread,"Godfread, Dan",D. Godfread,dan-godfread,1967-06-14T00:00:00,Evansville,USA,Evansville/USA,6-10,250,2,35,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_dan_godfread,1990,1991,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,76821,Gerald,Glass,Gerald Glass,"Glass, Gerald",G. Glass,gerald-glass,1967-11-12T00:00:00,Mississippi,USA,Mississippi/USA,6-5,221,4,,Forward,Inactive,N,0,,,,,HISTADD_gerald_glass,1990,1995,N,Y,Y,1990,1,20,N
0,76410,Richard,Coffey,Richard Coffey,"Coffey, Richard",R. Coffey,richard-coffey,1965-09-02T00:00:00,Minnesota,USA,Minnesota/USA,6-6,212,1,33,Guard,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_richard_coffey,1990,1990,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,418,Scott,Brooks,Scott Brooks,"Brooks, Scott",S. Brooks,scott-brooks,1965-07-31T00:00:00,California-Irvine,USA,California-Irvine/USA,5-11,165,10,2,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,scott_brooks,1988,1997,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1821,Mark,Randall,Mark Randall,"Randall, Mark",M. Randall,mark-randall,1967-09-30T00:00:00,Kansas,USA,Kansas/USA,6-8,235,4,42,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,mark_randall,1991,1994,N,Y,Y,1991,1,26,N
0,26,Luc,Longley,Luc Longley,"Longley, Luc",L. Longley,luc-longley,1969-01-19T00:00:00,New Mexico,USA,New Mexico/USA,,,10,,Center,Inactive,N,0,,,,,luc_longley,1991,2000,N,Y,Y,1991,1,7,N
0,76748,Tellis,Frank,Tellis Frank,"Frank, Tellis",T. Frank,tellis-frank,1965-04-26T00:00:00,Western Kentucky,USA,Western Kentucky/USA,6-10,225,5,32,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_tellis_frank,1987,1993,N,Y,Y,1987,1,14,N
0,76277,Myron,Brown,Myron Brown,"Brown, Myron",M. Brown,myron-brown,1969-11-03T00:00:00,Slippery Rock,USA,Slippery Rock/USA,6-3,180,1,34,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_myron_brown,1991,1991,N,Y,Y,1991,2,34,N
0,1847,Thurl,Bailey,Thurl Bailey,"Bailey, Thurl",T. Bailey,thurl-bailey,1961-04-07T00:00:00,North Carolina State,USA,North Carolina State/USA,6-11,247,12,41,Forward,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,thurl_bailey,1983,1998,N,Y,Y,1983,1,7,N
0,52,Micheal,Williams,Micheal Williams,"Williams, Micheal",M. Williams,micheal-williams,1966-07-23T00:00:00,Baylor,USA,Baylor/USA,6-2,175,10,,Guard,Inactive,N,0,,,,,micheal_williams,1988,1998,N,Y,Y,1988,2,48,N
0,78415,Gundars,Vetra,Gundars Vetra,"Vetra, Gundars",G. Vetra,gundars-vetra,1967-05-22T00:00:00,VEF Riga,Latvia,VEF Riga/Latvia,6-6,195,1,2,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_gundars_vetra,1992,1992,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1814,Chris,Smith,Chris Smith,"Smith, Chris",C. Smith,chris-smith,1970-05-17T00:00:00,Connecticut,USA,Connecticut/USA,6-3,190,3,3,Guard,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,chris_smith,1992,1994,N,Y,Y,1992,2,34,N
0,456,Chuck,Person,Chuck Person,"Person, Chuck",C. Person,chuck-person,1964-06-27T00:00:00,Auburn,USA,Auburn/USA,6-8,241,13,45,Forward,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,chuck_person,1986,1999,N,Y,Y,1986,1,4,N
0,737,Bob,McCann,Bob McCann,"McCann, Bob",B. McCann,bob-mccann,1964-04-22T00:00:00,Morehead State,USA,Morehead State/USA,6-6,244,5,,Forward,Inactive,N,0,,,,,bob_mccann,1989,1997,N,Y,Y,1987,2,32,N
0,77486,Marlon,Maxey,Marlon Maxey,"Maxey, Marlon",M. Maxey,marlon-maxey,1969-02-19T00:00:00,Texas-El Paso,USA,Texas-El Paso/USA,6-8,250,2,25,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_marlon_maxey,1992,1993,N,Y,Y,1992,2,28,N
0,363,Christian,Laettner,Christian Laettner,"Laettner, Christian",C. Laettner,christian-laettner,1969-08-17T00:00:00,Duke,USA,Duke/USA,6-11,245,14,44,Forward-Center,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,christian_laettner,1992,2004,N,Y,Y,1992,1,3,N
0,76183,Lance,Blanks,Lance Blanks,"Blanks, Lance",L. Blanks,lance-blanks,1966-09-09T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-4,190,3,21,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_lance_blanks,1990,1992,N,Y,Y,1990,1,26,N
0,101258,Corey,Williams,Corey Williams,"Williams, Corey",C. Williams,corey-williams,1977-08-08T00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-3,190,2,12,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,corey_williams,1992,1993,Y,Y,Y,1992,2,33,N
0,375,Isaiah,Rider,Isaiah Rider,"Rider, Isaiah",I. Rider,isaiah-rider,1971-03-12T00:00:00,UNLV,USA,UNLV/USA,,,9,,Guard,Inactive,N,0,,,,,isaiah_rider,1993,2001,N,Y,Y,1993,1,5,N
0,351,Stacey,King,Stacey King,"King, Stacey",S. King,stacey-king,1967-01-29T00:00:00,Oklahoma,USA,Oklahoma/USA,6-11,250,8,33,Forward-Center,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,stacey_king,1989,1996,N,Y,Y,1989,1,6,N
0,77109,Stanley,Jackson,Stanley Jackson,"Jackson, Stanley",S. Jackson,stanley-jackson,1970-10-10T00:00:00,Alabama-Birmingham,USA,Alabama-Birmingham/USA,6-3,185,1,7,Guard,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_stanley_jackson,1993,1993,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,76903,Andres,Guibert,Andres Guibert,"Guibert, Andres",A. Guibert,andres-guibert,1968-10-28T00:00:00,Cantera Instituto,Cuba,Cantera Instituto/Cuba,6-10,225,2,51,Center,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_andres_guibert,1993,1994,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,76517,Brian,Davis,Brian Davis,"Davis, Brian",B. Davis,brian-davis,1970-06-21T00:00:00,Duke,USA,Duke/USA,6-7,200,1,23,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_brian_davis,1993,1993,N,Y,Y,1992,2,48,N
0,1479,Mike,Brown,Mike Brown,"Brown, Mike",M. Brown,mike-brown,1963-07-19T00:00:00,George Washington,USA,George Washington/USA,6-10,260,12,52,Center-Forward,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,mike_brown,1986,1997,N,Y,Y,1985,3,69,N
0,1593,Charles,Shackleford,Charles Shackleford,"Shackleford, Charles",C. Shackleford,charles-shackleford,1966-04-22T00:00:00,North Carolina State,USA,North Carolina State/USA,6-11,245,6,33,Center,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,charles_shackleford,1988,1998,N,Y,Y,1988,2,32,N
0,399,Sean,Rooks,Sean Rooks,"Rooks, Sean",S. Rooks,sean-rooks,1969-09-09T00:00:00,Arizona,USA,Arizona/USA,6-10,260,13,45,Center,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,sean_rooks,1992,2003,N,Y,Y,1992,2,30,N
0,239,Darrick,Martin,Darrick Martin,"Martin, Darrick",D. Martin,darrick-martin,1971-03-06T00:00:00,UCLA,USA,UCLA/USA,5-11,170,13,,Guard,Inactive,N,0,,,,,darrick_martin,1994,2007,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,77174,Askia,Jones,Askia Jones,"Jones, Askia",A. Jones,askia-jones,1971-12-03T00:00:00,Kansas State,USA,Kansas State/USA,6-5,200,1,2,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_askia_jones,1994,1994,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,76782,Winston,Garland,Winston Garland,"Garland, Winston",W. Garland,winston-garland,1964-12-19T00:00:00,Missouri State,USA,Missouri State/USA,6-2,170,7,22,Guard,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_winston_garland,1987,1994,N,Y,Y,1987,2,40,N
0,323,Greg,Foster,Greg Foster,"Foster, Greg",G. Foster,greg-foster,1968-10-03T00:00:00,Texas-El Paso,USA,Texas-El Paso/USA,6-11,250,13,43,Center,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,greg_foster,1990,2002,N,Y,Y,1990,2,35,N
0,1090,Pat,Durham,Pat Durham,"Durham, Pat",P. Durham,pat-durham,1967-03-10T00:00:00,Colorado State,USA,Colorado State/USA,6-7,210,2,30,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,pat_durham,1992,1994,N,Y,Y,1989,2,35,N
0,706,Jerome,Allen,Jerome Allen,"Allen, Jerome",J. Allen,jerome-allen,1973-01-28T00:00:00,Pennsylvania,USA,Pennsylvania/USA,6-4,184,2,53,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,jerome_allen,1995,1996,N,Y,Y,1995,2,49,N
0,35,Eric,Riley,Eric Riley,"Riley, Eric",E. Riley,eric-riley,1970-06-02T00:00:00,Michigan,USA,Michigan/USA,7-0,245,4,44,Center,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,eric_riley,1993,1998,N,Y,Y,1993,2,33,N
0,66,Marques,Bragg,Marques Bragg,"Bragg, Marques",M. Bragg,marques-bragg,1970-03-24T00:00:00,Providence,USA,Providence/USA,6-8,230,1,33,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,marques_bragg,1995,1995,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,345,Terry,Porter,Terry Porter,"Porter, Terry",T. Porter,terry-porter,1963-04-08T00:00:00,Wisconsin-Stevens Point,USA,Wisconsin-Stevens Point/USA,6-3,205,17,30,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,terry_porter,1985,2001,N,Y,Y,1985,1,24,N
0,457,Andrew,Lang,Andrew Lang,"Lang, Andrew",A. Lang,andrew-lang,1966-06-28T00:00:00,Arkansas,USA,Arkansas/USA,6-11,275,12,28,Center,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,andrew_lang,1988,1999,N,Y,Y,1988,2,28,N
0,339,Tom,Gugliotta,Tom Gugliotta,"Gugliotta, Tom",T. Gugliotta,tom-gugliotta,1969-12-19T00:00:00,North Carolina State,USA,North Carolina State/USA,6-10,250,14,7,Forward,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,tom_gugliotta,1992,2004,N,Y,Y,1992,1,6,N
0,708,Kevin,Garnett,Kevin Garnett,"Garnett, Kevin",K. Garnett,kevin-garnett,1976-05-19T00:00:00,Farragut Academy HS (IL),USA,Farragut Academy HS (IL)/USA,6-11,240,22,21,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,kevin_garnett,1995,2015,N,Y,Y,1995,1,5,Y
0,707,Mark,Davis,Mark Davis,"Davis, Mark",M. Davis,mark-davis,1973-04-26T00:00:00,Texas Tech,USA,Texas Tech/USA,6-7,205,4,7,Guard-Forward,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,mark_davis,1995,1999,N,Y,Y,1995,2,48,N
0,892,Spud,Webb,Spud Webb,"Webb, Spud",S. Webb,spud-webb,1963-07-13T00:00:00,North Carolina State,USA,North Carolina State/USA,5-6,133,12,,Guard,Inactive,N,0,,,,,spud_webb,1985,1997,N,Y,Y,1985,4,87,N
0,78179,Charles,Smith,Charles Smith,"Smith, Charles",C. Smith,charles-smith,1967-11-29T00:00:00,Georgetown,USA,Georgetown/USA,6-1,160,3,,Forward,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADD_charles_e_smith,1989,1995,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,685,Cherokee,Parks,Cherokee Parks,"Parks, Cherokee",C. Parks,cherokee-parks,1972-10-11T00:00:00,Duke,USA,Duke/USA,6-11,240,9,,Forward-Center,Inactive,N,0,,,,,cherokee_parks,1995,2003,N,Y,Y,1995,1,12,N
0,713,Chris,Carr,Chris Carr,"Carr, Chris",C. Carr,chris-carr,1974-03-12T00:00:00,Southern Illinois,USA,Southern Illinois/USA,6-6,220,7,,Guard,Inactive,N,0,,,,,chris_carr,1995,2000,N,Y,Y,1995,2,56,N
0,381,James,Robinson,James Robinson,"Robinson, James",J. Robinson,james-robinson,1970-08-31T00:00:00,Alabama,USA,Alabama/USA,,,7,,Guard,Inactive,N,0,,,,,james_robinson,1993,2000,N,Y,Y,1993,1,21,N
0,1051,Dean,Garrett,Dean Garrett,"Garrett, Dean",D. Garrett,dean-garrett,1966-11-27T00:00:00,Indiana,USA,Indiana/USA,6-11,250,6,22,Center,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,dean_garrett,1996,2001,N,Y,Y,1988,2,38,N
0,1037,Stojko,Vrankovic,Stojko Vrankovic,"Vrankovic, Stojko",S. Vrankovic,stojko-vrankovic,1964-01-22T00:00:00,Aris,Croatia,Aris/Croatia,7-2,260,5,,Center,Inactive,N,0,,,,,stojko_vrankovic,1990,1998,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1049,Shane,Heal,Shane Heal,"Heal, Shane",S. Heal,shane-heal,1970-09-06T00:00:00,Sydney Kings,Australia,Sydney Kings/Australia,6-0,180,2,,Guard,Inactive,N,0,,,,,shane_heal,1996,2003,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,950,Stephon,Marbury,Stephon Marbury,"Marbury, Stephon",S. Marbury,stephon-marbury,1977-02-20T00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-2,205,14,8,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,stephon_marbury,1996,2008,N,Y,Y,1996,1,4,N
0,914,Stanley,Roberts,Stanley Roberts,"Roberts, Stanley",S. Roberts,stanley-roberts,1970-02-07T00:00:00,Louisiana State,USA,Louisiana State/USA,7-0,290,9,,Center,Inactive,N,0,,,,,stanley_roberts,1991,1999,N,Y,Y,1991,1,23,N
0,1545,DeJuan,Wheat,DeJuan Wheat,"Wheat, DeJuan",D. Wheat,dejuan-wheat,1973-10-14T00:00:00,Louisville,USA,Louisville/USA,6-0,165,2,6,Guard,Inactive,N,1610612763,Grizzlies,VAN,grizzlies,Vancouver,dejuan_wheat,1997,1998,N,Y,Y,1997,2,51,N
0,674,Reggie,Jordan,Reggie Jordan,"Jordan, Reggie",R. Jordan,reggie-jordan,1968-01-26T00:00:00,New Mexico State,USA,New Mexico State/USA,6-4,195,6,,Guard,Inactive,N,0,,,,,reggie_jordan,1993,1999,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,67,Tom,Hammonds,Tom Hammonds,"Hammonds, Tom",T. Hammonds,tom-hammonds,1967-03-27T00:00:00,Georgia Tech,USA,Georgia Tech/USA,,,12,,Forward,Inactive,N,0,,,,,tom_hammonds,1989,2000,N,Y,Y,1989,1,9,N
0,223,Bill,Curley,Bill Curley,"Curley, Bill",B. Curley,bill-curley,1972-05-29T00:00:00,Boston College,USA,Boston College/USA,,,6,,Forward,Inactive,N,0,,,,,bill_curley,1994,2000,N,Y,Y,1994,1,22,N
0,324,Anthony,Peeler,Anthony Peeler,"Peeler, Anthony",A. Peeler,anthony-peeler,1969-11-25T00:00:00,Missouri,USA,Missouri/USA,6-4,208,14,8,Guard,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,anthony_peeler,1992,2004,N,Y,Y,1992,1,15,N
0,1754,Andrae,Patterson,Andrae Patterson,"Patterson, Andrae",A. Patterson,andrae-patterson,1975-11-12T00:00:00,Indiana,USA,Indiana/USA,6-9,238,2,,Forward,Inactive,N,0,,,,,andrae_patterson,1998,1999,N,Y,Y,1998,2,46,N
0,693,Joe,Smith,Joe Smith,"Smith, Joe",J. Smith,joe-smith,1975-07-26T00:00:00,Maryland,USA,Maryland/USA,6-10,225,17,1,Forward-Center,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,joe_smith,1995,2010,N,Y,Y,1995,1,1,N
0,1517,Bobby,Jackson,Bobby Jackson,"Jackson, Bobby",B. Jackson,bobby-jackson,1973-03-13T00:00:00,Minnesota,USA,Minnesota/USA,6-1,185,13,24,Guard,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,bobby_jackson,1997,2008,N,Y,Y,1997,1,23,N
0,1725,Rasho,Nesterovic,Rasho Nesterovic,"Nesterovic, Rasho",R. Nesterovic,rasho-nesterovic,1976-05-30T00:00:00,Virtus Bologna,Slovenia,Virtus Bologna/Slovenia,7-0,255,13,12,Center,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,rasho_nesterovic,1998,2009,N,Y,Y,1998,1,17,N
0,210,Terrell,Brandon,Terrell Brandon,"Brandon, Terrell",T. Brandon,terrell-brandon,1970-05-20T00:00:00,Oregon,USA,Oregon/USA,5-11,173,12,7,Guard,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,terrell_brandon,1991,2002,N,Y,Y,1991,1,11,N
0,907,Malik,Sealy,Malik Sealy,"Sealy, Malik",M. Sealy,malik-sealy,1970-02-01T00:00:00,St. John's (NY),USA,St. John's (NY)/USA,6-8,200,8,2,Guard-Forward,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,malik_sealy,1992,1999,N,Y,Y,1992,1,14,N
0,1887,Wally,Szczerbiak,Wally Szczerbiak,"Szczerbiak, Wally",W. Szczerbiak,wally-szczerbiak,1977-03-05T00:00:00,Miami (Ohio),USA,Miami (Ohio)/USA,6-7,240,11,10,Guard-Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,wally_szczerbiak,1999,2008,N,Y,Y,1999,1,6,N
0,1895,William,Avery,William Avery,"Avery, William",W. Avery,william-avery,1979-08-08T00:00:00,Duke,USA,Duke/USA,6-2,180,4,30,Guard,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,william_avery,1999,2002,N,Y,Y,1999,1,14,N
0,1073,Reggie,Slater,Reggie Slater,"Slater, Reggie",R. Slater,reggie-slater,1970-08-27T00:00:00,Wyoming,USA,Wyoming/USA,6-7,255,9,35,Forward,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,reggie_slater,1994,2002,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1732,Felipe,Lopez,Felipe Lopez,"Lopez, Felipe",F. Lopez,felipe-lopez,1974-12-19T00:00:00,St. John's (NY),Dominican Republic,St. John's (NY)/Dominican Republic,6-5,195,5,13,Guard-Forward,Inactive,N,1610612763,Grizzlies,VAN,grizzlies,Vancouver,felipe_lopez,1998,2002,N,Y,Y,1998,1,24,N
0,1497,Chauncey,Billups,Chauncey Billups,"Billups, Chauncey",C. Billups,chauncey-billups,1976-09-25T00:00:00,Colorado,USA,Colorado/USA,6-3,210,17,1,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,chauncey_billups,1997,2013,N,Y,Y,1997,1,3,N
0,111,LaPhonso,Ellis,LaPhonso Ellis,"Ellis, LaPhonso",L. Ellis,laphonso-ellis,1970-05-05T00:00:00,Notre Dame,USA,Notre Dame/USA,6-8,240,12,3,Forward,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,laphonso_ellis,1992,2002,N,Y,Y,1992,1,5,N
0,1531,Marc,Jackson,Marc Jackson,"Jackson, Marc",M. Jackson,marc-jackson,1975-01-16T00:00:00,Temple,USA,Temple/USA,6-10,253,8,44,Forward,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,marc_jackson,2000,2006,N,Y,Y,1997,2,37,N
0,718,Gary,Trent,Gary Trent,"Trent, Gary",G. Trent,gary-trent,1974-09-22T00:00:00,Ohio,USA,Ohio/USA,6-8,250,10,20,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,gary_trent,1995,2003,N,Y,Y,1995,1,11,N
0,123,Robert,Pack,Robert Pack,"Pack, Robert",R. Pack,robert-pack,1969-02-03T00:00:00,Southern California,USA,Southern California/USA,6-2,190,13,,Guard,Inactive,N,0,,,,,robert_pack,1991,2003,N,Y,Y,Undrafted,Undrafted,Undrafted,N
0,2254,Loren,Woods,Loren Woods,"Woods, Loren",L. Woods,loren-woods,1978-06-21T00:00:00,Arizona,USA,Arizona/USA,7-2,260,7,33,Center,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,loren_woods,2001,2007,Y,Y,Y,2001,2,45,N
0,2080,Igor,Rakocevic,Igor Rakocevic,"Rakocevic, Igor",I. Rakocevic,igor-rakocevic,1978-03-29T00:00:00,Buducnost,Serbia,Buducnost/Serbia,6-2,184,2,36,Guard,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,igor_rakocevic,2002,2002,N,Y,Y,2000,2,51,N
